Date,Close,High,Low,Open,Volume
2021-03-01,314.1033020019531,318.1080657307648,313.7151309546432,317.3601249863128,4653200
2021-03-02,310.9695739746094,316.86783833762405,310.93172476784184,315.9210881030003,4660100
2021-03-03,306.6713256835937,310.9317014194822,306.5198421903262,310.69501387859947,4064200
2021-03-04,302.0511169433594,308.2617944027663,298.2641170831104,306.1505315793718,5501200
2021-03-05,300.4227600097656,301.47363879203573,290.652291674641,298.5387075927126,8102800
2021-03-08,294.8369445800781,305.16596329656704,294.36356950483025,301.92809396168394,4873500
2021-03-09,301.80499267578125,303.225117811446,296.05821269258627,297.0523176230635,5426800
2021-03-10,306.5860595703125,309.95651636891307,300.4227363195245,304.0393284870958,4523500
2021-03-11,311.1494445800781,313.6110008558665,309.32222364514604,312.8157341623084,4338900
2021-03-12,313.50689697265625,313.97079535741926,308.2618924087578,310.6287680739164,3182100
2021-03-15,312.9104309082031,315.9116129876567,309.8902953327436,315.8358856812061,3243000
2021-03-16,309.823974609375,312.4559387689196,309.2464709086123,312.1151225965063,3066700
2021-03-17,311.6605834960937,312.9008234804853,306.8605548522204,308.6404491819613,2672400
2021-03-18,305.78131103515625,310.66654427274136,305.2132552833411,309.0949358794763,2736900
2021-03-19,311.3956604003906,311.717552051579,305.2228585332836,306.3778662209154,4859300
2021-03-22,316.6784973144531,318.26905977030924,310.7139820057026,310.9601463283106,4064900
2021-03-23,322.2168884277344,324.2713486206433,316.0251353974988,316.1103683220924,3641200
2021-03-24,320.0394287109375,324.2714030360148,318.893840227126,323.99683740268165,3006400
2021-03-25,327.8974914550781,329.26081418193303,319.3104594040959,319.82171264979803,4307100
2021-03-26,333.2749328613281,333.69150518305725,325.7766888552394,327.7743175363569,3061200
2021-03-29,337.1850891113281,338.71881986328634,332.3188079463806,332.7353803595698,3012000
2021-03-30,331.1258544921875,335.87852969359847,330.26430841582726,334.75189473932136,2602400
2021-03-31,333.7104187011719,338.4157669098977,330.6334814934592,331.9873269306493,2832200
2021-04-01,336.0394897460937,338.2927596534369,332.90574916176985,333.767295237667,2938600
2021-04-05,341.6063537597656,343.3578470989014,337.83827822801805,338.4631367167512,2705700
2021-04-06,340.94366455078125,343.48094805694365,339.8833089895505,340.6406975639948,2142000
2021-04-07,339.70343017578125,342.2123123772412,338.5673184014298,341.6537332374839,1808400
2021-04-08,341.9850158691406,346.52940404256054,340.4512855829243,343.48086806769913,2839200
