Date,Close,High,Low,Open,Volume
2025-02-21,64.65786743164062,66.08861042120171,64.29527896057881,65.77502301905837,1097800
2025-02-24,64.9028549194336,65.31443696448616,63.903289979719545,64.62845941288548,926800
2025-02-25,65.64762115478516,66.22580234838546,65.10864679629069,65.1968397457393,1316600
2025-02-26,64.83425903320312,66.08860860734993,64.77545625681216,65.66722484636186,1091100
2025-02-27,64.61866760253906,65.36343300440004,64.24627742509522,64.39327315426972,795100
2025-02-28,65.14784240722656,65.6476173783786,64.31486916894767,64.89305032928786,1386900
2025-03-03,65.04984283447266,65.9416114040467,64.7754548058385,65.68681931609511,1633400
2025-03-04,64.29527282714844,65.41242830799544,63.82488803054896,64.49126213109915,1652500
2025-03-05,65.16744232177734,65.65742309111403,64.32467480039722,64.83425898735474,1473100
2025-03-06,66.86278533935547,67.01957531244982,64.7950657008585,65.16744842890725,1624800
2025-03-07,68.01913452148438,68.57771230384832,66.65698109365357,66.65698109365357,1389400
2025-03-10,68.21512603759766,69.52827096329294,67.65654823723999,67.99953329421163,1491100
2025-03-11,65.76522064208984,68.58750723271804,65.1478475531593,68.06812880411584,1966900
2025-03-12,64.32467651367188,66.21600263274705,64.30508057204229,65.87301758037867,1384400
2025-03-13,64.13847351074219,64.65785935626423,63.71708979081722,63.78568679282768,1171800
2025-03-14,65.51042938232422,65.57902639308318,64.13848169063144,64.89305628549351,1152700
2025-03-17,66.13760375976562,66.36299820880673,64.82445885474077,64.8440547963249,1139600
2025-03-18,66.30419921875,66.59818318523665,65.73581974975765,65.87301376275401,1032300
2025-03-19,66.24539947509766,66.57859029084221,65.70642510695653,66.13760310616676,1217800
2025-03-20,65.37323760986328,65.96121307609894,65.18704251289174,65.64762566233901,1101800
2025-03-21,65.16744232177734,65.48102971509229,64.56966518506555,64.9518495870271,4061300
2025-03-24,65.04004669189453,66.47078956811228,64.91264691340447,65.8142171650935,1018600
2025-03-25,65.39283752441406,65.95141530888128,64.61866700269401,65.04005076827548,1036300
2025-03-26,66.00041198730469,66.6569844621819,65.32424357017584,65.32424357017584,985000
2025-03-27,65.5594253540039,66.15720246264523,65.18703520182632,66.15720246264523,764800
2025-03-28,64.29527282714844,65.90240904438491,64.22667582311442,65.64761696803883,762100
2025-03-31,64.05027770996094,64.59905370154422,63.403499597155935,64.03067429511174,1619600
2025-04-01,64.28546905517578,64.39326541184178,63.442701617521074,64.03067698700954,1810200
2025-04-02,64.79505157470703,64.92244386735516,63.61909338856078,63.70729380386508,1437900
